group,SVSPP,Species,Stock,Season(s),Strata set
,1,Atlantic hagfish                 Myxine glutinosa,Unit,"Spring, Fall","offshore 3-4, 7-8, 11-12, 14-15, 21-40, 63-64, 67-68, 71-72, 75-76"
other,13,Smooth dogfish                      Mustelus canis,Unit,Fall,"Offshore 1-25, 61-76; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-46, 55"
MP,15,Spiny dogfish                 Squalus acanthias,Unit,"Spring, Fall","Offshore 1-30, 34-40, 61-76"
JB add,22,Barndoor skate               Dipturus laevis,Unit,"Spring, Fall","Offshore 1-30, 34-40"
JB add,23,Winter skate                 Leucoraja ocellata,Unit,"Spring, Fall","Offshore 1-30, 34-40, 61-76"
JB add,24,Clearnose skate                    Raja eglanteria,Unit,"Spring, Fall","Offshore 61-76; Inshore 17, 20, 23, 26, 29, 32, 35, 38, 41, 44"
MP,25,Rosette skate                Leucoraja garmani,Unit,"Spring, Fall",Offshore 61-76
JB add,26,Little skate                  Leucoraja erinacea,Unit,"Spring, Fall","Offshore 1-30, 34-40, 61-76; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-46, 59-61, 64-65"
MP,27,Smooth skate             Malacoraja senta,Unit,"Spring, Fall","Offshore 1-30, 34-40"
JB add,28,Thorny skate              Amblyraja radiata,Unit,"Spring, Fall","Offshore 1-30, 34-40"
JB add,32,Atlantic herring                Clupea harengus,Unit,Spring,"Offshore 1-30, 36-40, 61-76"
,32,Atlantic herring                Clupea harengus,Unit,Fall,"Offshore 5-30, 36-40"
other,33,Alewife                             Alosa pseudoharengus,Unit,"Spring, Fall","Offshore 1-30, 34-40, 61-76; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-51, 53-57, 59-62, 64-88, 91-92"
other,34,Blueback herring                  Alosa aestivalis,Unit,"Spring, Fall","Offshore 1-30, 34-40, 61-76; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-51, 53-54, 56-57, 59-62, 64-88, 91-92"
MP,69,Offshore hake           Merluccius albidus,Unit,"Spring, Fall","Offshore 3-4, 7-8, 11-12, 14-15, 17-18, 63-64, 67-68, 71-72, 75-76"
MP,72,Silver hake                 Merluccius bilinearis,GOM/NGB,"Spring, Fall","Offshore 20-30, 36-40"
MP,72,Silver hake                 Merluccius bilinearis,SGB/MA,"Spring, Fall","Offshore 1-19, 61-76"
MP,73,Atlantic cod                      Gadus morhua,GB,"Spring, Fall",Offshore 13-25        
MP,73,Atlantic cod                      Gadus morhua,GOM,"Spring, Fall","Offshore 26-30, 36-40"
MP,74,Haddock               Melanogrammus aeglefinus,GB,"Spring, Fall","Offshore 13-25, 29-30"
MP,74,Haddock               Melanogrammus aeglefinus,GOM,"Spring, Fall","Offshore 26-28, 36-40"
JB add,75,Pollock                            Pollachius virens,Unit,"Spring, Fall","Offshore 13-30, 36-40"
JB add,76,White hake                 Urophycis tenuis,Unit,"Spring, Fall","Offshore 21-30, 36-40"
JB add,77,Red hake                      Urophycis chuss,GOM/NGB,"Spring, Fall","Offshore 20-30, 36-40"
JB add,77,Red hake                      Urophycis chuss,SGB/MA,"Spring, Fall","Offshore 1-19, 61-76 "
other,84,Cusk                                     Brosme brosme,Unit,"Spring, Fall","Offshore 17, 18, 22, 24, 26-30, 34, 350, 351, 36-38"
JB add,101,Atlantic halibut     Hippoglossus hippoglossus,Unit,"Spring, Fall","Offshore 13-30, 36-40"
JB add,102,American plaice Hippoglossoides platessoides,Unit,"Spring, Fall","Offshore 13-30, 36-40"
MP,103,Summer flounder                   Paralichthys dentatus,Unit,Spring,"Offshore 1-12, 61-76"
MP,103,Summer flounder Paralichthys dentatus,Unit,Fall,"Offshore 1, 5, 9, 61, 65, 69, 73; Inshore 1-61"
MP,105,Yellowtail flounder                                Limanda ferruginea,CC,Spring,"Offshore 25-27, 39-40; Inshore 56-57, 59-62, 64-66"
MP,105,Yellowtail flounder                                Limanda ferruginea,CC,Fall,"Offshore 25-26, 39-40; Inshore 56-57, 59-62, 64-66"
MP,105,Yellowtail flounder                                Limanda ferruginea,GB,"Spring, Fall",Offshore 13-21
MP,105,Yellowtail flounder                                Limanda ferruginea,SNE/MA,Spring,"Offshore 1-2, 5-6, 9-10, 69, 73-74"
MP,105,Yellowtail flounder                                Limanda ferruginea,SNE/MA,Fall,"Offshore 1-2, 5-6, 9-10"
MP,106,Winter flounder Pseudopleuronectes americanus,GB,"Spring, Fall",Offshore 13-23
MP,106,Winter flounder Pseudopleuronectes americanus,GOM,"Spring, Fall","Offshore 26-27, 38-40; Inshore 58-61, 65-66"
MP,106,Winter flounder Pseudopleuronectes americanus,GOM,"Spring, Fall","Offshore 26, 39, 40; Inshore 59-61, 64-66"
MP,106,Winter flounder Pseudopleuronectes americanus,SNE/MA,"Spring, Fall","Offshore 1-2, 5-6, 9-10, 25, 69-70, 73-74; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 45-46, 56"
MP,107,Witch flounder                         Glyptocephalus cynoglossus,Unit,"Spring, Fall","Offshore 22-30, 36-40"
JB add,108,Windowpane flounder Scophthalmus aquosus,GOM/GB,"Spring, Fall","Offshore 13-30, 37-40; Inshore 59-61, 65-66"
JB add,108,Windowpane flounder Scophthalmus aquosus,SNE/MA,"Spring, Fall","Offshore 1-12, 61-76; inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-46"
JB add,121,Atlantic mackerel                      Scomber scombrus,Unit,Spring,"Offshore 1-30, 34, 351, 36-40, 61-63, 65-76; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-46, 56, 59-61, 64-66"
MP,131,Butterfish                      Peprilus triacanthus,Unit,"Spring, Fall","Offshore 1-14, 16, 19, 20, 23, 25, 61-76; Inshore 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44-46, 56, 59-61, 64-66"
,135,Bluefish                     Pomatomus saltatrix,Unit,Fall,"Inshore strata 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44, 45, 46 "
MP,141,Black sea bass                           Centropristis striata,North,Spring,"Offshore 1-12, 25"
,141,Black sea bass                           Centropristis striata,South,Spring,Offshore 61-76 
MP,143,Scup                            Stenotomus chrysops,Unit,Spring,"Offshore 1-12, 23, 25, and 61-76"
,143,Scup                            Stenotomus chrysops,Unit,Fall,"Offshore 1-12, 23, 25, 61-76; Inshore 1-61"
JB add,155,Acadian redfish                           Sebastes fasciatus,Unit,"Spring, Fall","Offshore 24, 26-30, 36-40"
JB add,192,Atlantic wolffish                      Anarhichas lupus,Unit,"Spring, Fall","Offshore 9-15, 19-20, 23-28, 37-40  "
JB add,193,Ocean pout                    Zoarces americanus,Unit,Spring,"Offshore 1-26, 73-76"
MP,197,Monkfish                         Lophius americanus,North,"Spring, Fall","Offshore 20-30, 34-40"
MP,197,Monkfish                         Lophius americanus,South,"Spring, Fall","Offshore 1-19, 61-76"
,301,American lobster           Homarus americanus,GOM,"Spring, Fall","Offshore 26-30, 34, 351, 36-40; Inshore 59-61, 64-66"
,301,American lobster           Homarus americanus,GB,"Spring, Fall",Offshore 9-25; Inshore 56
,301,American lobster           Homarus americanus,SNE,"Spring, Fall","Offshore 1-8, 61-76; Inshore  2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44, 45, 46, 55"
,306,Northern shrimp            Pandalus borealis,Unit,Fall,"Offshore 24, 26-28, 37-40"
MP,502,Northern shortfin squid                                        Ilex illecebrosus,Unit,"Spring, Fall","Offshore 1-40, 61-76"
MP,503,Longfin inshore squid              Doryteuthis pealeii,Unit,"Spring, Fall","Offshore 1-23, 25-26, 61-76; Inshore 2-46, 58-61, 65-66 "
,,,,,
,,,,,
,,,,,
,,,,,
other,,,,,
other,,,,,
other,,,,,
other,,,,,
other,,,,,
