Time,spring_north_log10_num,spring_south_log10_num,spring_unit_log10_num,spring_north_ma_log10_num,spring_south_ma_log10_num,spring_unit_ma_log10_num,fall_north_log10_num,fall_south_log10_num,fall_unit_log10_num,fall_north_ma_log10_num,fall_south_ma_log10_num,fall_unit_ma_log10_num,spring_north_log10_bio,spring_south_log10_bio,spring_unit_log10_bio,spring_north_ma_log10_bio,spring_south_ma_log10_bio,spring_unit_ma_log10_bio,fall_north_log10_bio,fall_south_log10_bio,fall_unit_log10_bio,fall_north_ma_log10_bio,fall_south_ma_log10_bio,fall_unit_ma_log10_bio
1976,4.632137468,4.282036637,4.894964768,4.572856072,4.868423306,5.100920434,6.143439814,5.161589693,6.138083932,5.881601016,5.091594884,5.943631205,3.667896472,3.367186101,3.891051642,3.567363871,3.735460948,3.964251333,5.242315734,4.358207043,5.259437283,5.058960403,4.275070241,5.123739553
1977,,,,4.624902571,4.795952689,5.05032129,5.705935676,5.050076411,5.807177156,5.820374077,5.194265034,5.964261623,,,,3.806898355,3.711115846,4.086071311,4.842147987,4.20367496,4.950020873,4.935843623,4.26316895,5.051557428
1978,4.513574675,5.454809976,5.3068761,4.569075985,4.854852072,5.042649187,5.795427559,5.063118547,5.885632527,5.730175521,5.121051855,5.879360664,3.466831271,4.103735795,4.037451025,3.752307039,3.888995228,4.161455899,5.09241749,4.263328722,5.161760503,4.861078721,4.187773377,4.979450843
1979,4.72899557,4.651011454,4.949123003,4.657053472,5.330167576,5.30963617,5.636693258,5.502275484,6.026152875,5.672923727,4.95775185,5.844363839,4.285967323,3.662425641,4.329711266,3.736291964,4.268868569,4.367068856,4.566493282,4.227465074,4.835011053,4.797731353,4.100903516,4.932496233
1980,4.401596227,5.031550221,5.019632876,4.639460448,5.409929599,5.395996146,5.3693813,4.82819914,5.539756829,5.691567687,4.925779697,5.859781789,3.588533088,4.422633377,4.387609662,3.607426991,4.259203871,4.346518043,4.562019112,3.886191087,4.691024505,4.845703603,4.074298696,4.97540033
1981,4.984047417,6.183298652,5.962912702,4.451829656,5.225383322,5.242279688,5.857180841,4.345089666,5.963099809,5.614243328,4.952377866,5.816058474,3.603836175,4.886679464,4.713503471,3.42914488,4.144872431,4.246686601,4.925578892,3.923857736,5.024664232,4.749686733,4.010211984,4.891298938
1982,4.569088352,5.72897769,5.741436048,4.501772692,5.492230449,5.441268405,5.799155477,4.890215649,5.884266904,5.557851415,4.888472804,5.741356199,3.091967097,4.22054508,4.264314793,3.326268466,4.366915102,4.327036047,5.082009236,4.070650858,5.164541359,4.740231062,3.918274335,4.854825028
1983,3.575420715,4.532078594,4.53829381,4.377518941,5.382183039,5.374130295,5.408805766,5.196109388,5.667015954,5.484747686,4.816840148,5.674770507,2.575420715,3.532078594,3.53829381,3.164627343,4.178651061,4.186302579,4.612333143,3.942895165,4.741253544,4.727640362,3.920757165,4.849645264
1984,4.978710749,5.985247086,5.944066589,4.735370061,5.753635966,5.771380717,5.35473369,5.182750176,5.6526415,5.414511581,4.982929051,5.619733066,3.771585256,4.772638994,4.731458497,3.502438742,4.520167335,4.54385847,4.519214928,3.767776828,4.6526415,4.711910185,3.935014206,4.81751319
1985,3.780327471,4.481313173,4.683942324,5.08489407,5.887167001,5.937181708,5.003862656,4.470035861,5.206828371,5.318350607,5.006107402,5.553599607,2.780327471,3.481313173,3.683942324,3.7810369,4.686821933,4.717561169,4.499065611,3.898605236,4.665125686,4.619385422,3.901105043,4.730756148
1986,6.773303017,8.040563289,7.949164814,5.580736454,6.302577707,6.359478085,5.506000318,5.175534182,5.687912603,5.119167221,4.772050697,5.290757738,5.29289317,6.594260832,6.501282923,4.3688283,5.194191636,5.231830592,4.846928008,3.995142943,4.864003862,4.369320191,3.730351894,4.449354881
1987,6.316708397,6.396632864,6.570441004,5.682600902,6.345160698,6.480991944,,,,5.303368423,4.890502282,5.442357929,4.484957888,5.053818073,5.132828291,4.46217696,5.181465646,5.291255204,,,,4.526963777,3.950980741,4.61227762
1988,6.054632636,6.609132124,6.649775695,5.958178853,6.626029879,6.697816037,4.612072219,4.259882571,4.615648477,5.377852299,5.009247897,5.528489797,5.514377715,6.06892711,6.109640923,4.703139654,5.415046796,5.468154571,3.612072219,3.259882571,3.615648477,4.525576092,3.925137664,4.59113998
1989,5.488032989,6.198162039,6.551635885,5.684012837,6.136134814,6.214673154,6.0915385,5.656556515,6.259042266,5.33874904,4.731710178,5.442513224,4.238328556,4.709009041,5.028581558,4.503783744,4.981625909,5.06690234,5.14978927,4.650292213,5.304332453,4.494547192,3.767955255,4.554659724
1990,5.158217225,5.885659079,5.768062787,5.574607796,6.126918445,6.206355453,5.301798158,4.94501832,5.551355841,5.336031546,4.710105387,5.437924894,3.985140943,4.649218924,4.568439159,4.563091582,5.026775119,5.131747658,4.493514873,3.79523293,4.580575125,4.532797753,3.743241635,4.578623656
1991,5.402472937,5.591087965,5.533450398,5.495776681,5.971088098,6.083202201,5.349587285,4.065383309,5.344006313,5.359354901,4.566568689,5.418045586,4.296113616,4.427156395,4.495021771,4.32960769,4.79140199,4.915179689,4.722812406,3.366413304,4.71808284,4.676533105,3.720116935,4.679156347
1992,5.769683194,6.350551016,6.528852498,5.388802688,5.783961309,5.875042758,5.32516157,4.62368622,5.419571574,5.259010981,4.482212989,5.340121908,4.781497078,5.279564123,5.457054879,4.365742633,4.795273849,4.90479916,4.685799997,3.644387155,4.674479385,4.602099087,3.615889999,4.614740697
1993,5.660477061,5.829980391,6.034009439,5.32386711,5.687164422,5.826031538,4.72868899,3.542199082,4.516251937,5.421717899,4.622903313,5.46868382,4.346958257,4.892061465,5.026801078,4.424139082,4.817632025,4.967851448,4.330748981,3.144259074,4.118311929,4.732060893,3.823421607,4.758664359
1994,4.953163025,5.262528095,5.510838666,5.085378813,5.531951655,5.644990469,5.589818904,5.234778012,5.869423876,5.422318089,4.830918782,5.510673281,4.419003269,4.728368339,4.97667891,4.206922649,4.781072885,4.862485717,4.777619175,4.129157531,4.982254206,4.707212544,3.887602398,4.739227872
1995,4.833539334,5.401674641,5.523006688,4.980400375,5.412508258,5.54670287,6.115332744,5.648469943,6.194165399,5.300474653,4.745311627,5.389273238,4.277123191,4.761009801,4.883700603,4.188432605,4.754900004,4.861189393,5.143323903,4.832890972,5.300193432,4.513241424,3.797855056,4.566846267
1996,4.210031451,4.815024134,4.628245055,4.813656085,5.139727026,5.318127741,5.352588236,5.105460652,5.553953618,5.353883528,5.005362954,5.516866881,3.210031451,4.244360698,3.968193117,4.084392075,4.469702558,4.634055937,4.598570665,3.687317257,4.620900408,4.456948599,3.930852764,4.574027911
1997,5.244791004,5.753334028,6.0374145,4.979685343,5.32551088,5.475158462,4.715944394,4.195650444,4.812571358,5.308858538,4.900192699,5.425491885,4.689046855,5.148699716,5.450573259,4.303020299,4.708085377,4.843685623,3.715944394,3.195650444,3.812571358,4.223422993,3.701229394,4.311740761
1998,4.82675561,4.466074233,4.891133795,4.932058131,5.272090475,5.396939271,4.995733362,4.84245572,5.154220153,5.107239986,4.713123388,5.233323507,3.82675561,3.466074233,3.891133795,4.251870061,4.581266349,4.724507232,4.049284855,3.809247614,4.154220153,3.993447766,3.418313999,4.064627593
1999,5.783309318,6.191447366,6.295992272,5.04594511,5.304714158,5.499165168,5.364693954,4.708926735,5.412548898,5.218887339,4.6549235,5.324152448,5.512144389,5.920282437,6.024827343,4.438640436,4.604278675,4.831626912,3.609991149,2.981040681,3.670818456,3.87554341,3.278542219,3.964286306
2000,4.595403271,5.134572613,5.131910733,5.083325185,5.271690503,5.419159722,,,,5.91955885,5.259109964,5.999060626,4.021372003,4.126914663,4.287808649,4.484396727,4.566658469,4.759308604,,,,4.311997995,3.668435057,4.408721883
2001,4.779466347,4.978142549,5.139374541,4.978001974,5.266679555,5.392434132,5.799177648,4.872661102,5.917269382,6.263363349,5.396001025,6.291556231,4.143883322,4.359422324,4.503791515,4.381974453,4.636867493,4.779923576,4.126953243,3.128230136,4.219535259,4.395183751,3.672170203,4.491123253
2002,5.431691381,5.588215753,5.637387268,4.677755643,4.916190556,5.045036886,7.518630438,6.612396297,7.512204069,6.329287276,5.38675952,6.351413301,4.917828312,4.96059869,5.08898172,4.039663896,4.250311941,4.39838219,5.461762733,4.755221797,5.590313663,4.551564752,3.833789352,4.644162873
2003,4.300139551,4.441019495,4.757505844,4.507069755,4.763999894,4.871793898,6.370951355,5.390019964,6.324202576,6.188065968,5.386188589,6.224105995,3.31464424,3.817119353,3.994208653,3.923578263,4.23944687,4.333753619,4.382027878,3.824188197,4.483825636,4.322038365,3.829459184,4.451298304
2004,4.282077663,4.439002372,4.559006043,4.374438566,4.710464231,4.682845895,5.628389664,4.671960715,5.651977177,6.23154296,5.399230174,6.2420783,3.800591603,3.987504676,4.117120412,3.828840284,4.209453007,4.182698827,4.235515155,3.627517279,4.282976935,4.429827465,3.932025817,4.535680852
2005,3.741973835,4.373619303,4.265695792,4.364717138,4.841221017,4.722914922,5.623180735,5.383904867,5.714876772,5.817278663,5.024354622,5.820926307,3.440943839,4.072589308,3.964665797,3.790992708,4.344142551,4.20881017,3.403932817,3.812138513,3.679840025,4.336385489,3.836748323,4.404749627
2006,4.116310398,,4.194634528,4.755035232,5.149735603,5.025463812,6.016562608,4.937869029,6.007130907,5.54293515,4.869619406,5.596159313,3.670193425,,3.748517555,4.263009182,4.63889019,4.549557491,4.665898744,3.641063299,4.641448003,4.33819465,3.8149363,4.406858416
2007,5.383084244,6.111242899,5.837732404,5.429706998,5.95491892,5.620755498,5.447308953,4.738018536,5.406444105,5.672984891,5.044585475,5.776207459,4.728590434,5.499356869,5.219538431,4.951538932,5.453891054,5.150793726,4.994552852,4.278834329,4.935657535,4.647104627,4.09907639,4.760991945
2008,6.251730021,5.675077838,6.270250293,6.04867006,6.726394633,6.238422739,4.999233789,4.616343882,5.200367604,5.394118212,4.63083006,5.453393625,5.67472661,4.996109908,5.697945258,5.344452354,5.942804717,5.542411326,4.391073681,3.715128078,4.494369582,4.472293531,3.659880246,4.50539146
2009,7.655436489,7.659735638,7.535464474,6.531759976,6.726394633,6.749369792,6.278638371,5.546791059,6.552217909,5.263479295,4.537188732,5.340821701,7.243240351,7.247508131,7.123301587,5.763017087,5.942804717,5.990884769,5.780065042,5.048217731,6.05364458,4.515192897,3.706506259,4.568932998
2010,6.836789149,7.459522156,7.354031997,6.55421097,6.683023701,6.784116371,4.228847341,3.315127795,4.100807602,5.347624237,4.610397553,5.420557983,5.405510952,6.028243959,5.922753799,5.754518063,5.813714557,5.94583804,2.529877336,1.616157791,2.401837598,4.594271072,3.775330438,4.644963353
2011,,,,6.497236184,6.878238012,6.909711128,5.363368019,4.469662389,5.444271286,5.422866283,4.590580719,5.461448694,,,,5.66523919,6.001896147,6.037954115,4.880395574,3.874193364,4.959155695,4.709343853,3.855087459,4.745185086
2012,5.472888219,5.937759172,5.976718721,6.111169415,6.617738804,6.70112668,5.868033665,5.104062642,5.805125517,5.143922832,4.423535159,5.161623723,4.694594341,4.982996231,5.039351514,5.139238803,5.586692153,5.676171625,5.389943728,4.622955226,5.315809308,4.422394763,3.68003626,4.437144539
2013,6.023830878,6.455935083,6.772629321,5.701305883,6.247942894,6.406006291,5.375444018,4.517259708,5.404821155,5.381332626,4.646577462,5.429215098,5.317611118,5.748836268,6.066409561,5.031278085,5.516635141,5.680982552,4.966437586,4.113913183,4.995478251,4.828928549,4.089135785,4.869335972
2014,,,,6.159378283,5.556888035,6.735616519,4.883921119,4.711563264,5.053093057,5.52909241,4.80969075,5.547854283,,,,5.203166274,4.546860935,5.738161306,4.34531959,4.172961734,4.513441842,4.949180508,4.251005298,4.96234905
2015,5.607198551,6.350134428,6.468670831,6.393759592,5.469730292,6.839877287,5.41589631,4.43033931,5.438764477,5.446352774,4.688140147,5.500585229,5.081628797,5.818072924,5.93718658,5.517287037,4.578474973,5.961726424,4.562546268,3.661655419,4.562794766,4.542676856,3.806294176,4.593561236
2016,7.533595483,3.483723455,7.724447202,6.001169507,5.151144586,6.44467429,6.102166939,5.285228825,6.037467207,5.569695013,4.80642454,5.623751154,5.718830839,1.637538319,5.909697568,5.116440764,4.212581757,5.534297336,5.481655367,4.683540926,5.424221084,4.540689554,3.759255679,4.582905671
2017,6.410413455,5.589128202,6.393761793,6.001169507,5.151144586,6.44467429,5.454335482,4.496309628,5.568780251,5.741138486,4.830139859,5.766415678,5.951077395,5.109452382,5.933611988,5.116440764,4.212581757,5.534297336,3.357425469,2.399399615,3.471870238,4.589532046,3.655829166,4.600271628
2018,4.453470541,5.181592258,5.191817333,6.132493159,4.751481305,6.436675443,5.992155213,5.108681674,6.020650777,5.849552545,4.963406709,5.875632745,3.714226025,4.285263403,4.356693207,5.128044753,3.677418035,5.400000921,4.956501079,3.878720701,4.942200423,4.598527305,3.653887081,4.612763915
